timestamp,amount,merchant_category,device_type,is_foreign_transaction
2026-06-02 7:47:17,47.86,Gas,Desktop,0
2026-06-02 10:14:32,110.35,Subscription,Mobile,0
2026-06-02 18:57:34,20.21,Pharmacy,Mobile,0
2026-06-04 18:34:26,43.58,Retail,Mobile,0
2026-06-05 9:44:27,64.54,Gas,Mobile,0
2026-06-06 12:06:05,71.49,Entertainment,POS,0
2026-06-07 19:02:46,85.4,Restaurant,POS,0
2026-06-08 8:02:42,44.88,Retail,Mobile,0
2026-06-08 11:53:40,113.24,Entertainment,Desktop,0
2026-06-09 20:06:24,53.65,Entertainment,Mobile,0
2026-06-10 10:42:17,127.82,Restaurant,Desktop,0
2026-06-11 15:46:15,33.6,Pharmacy,POS,0
2026-06-12 17:44:35,43.43,Entertainment,Mobile,0
2026-06-13 7:51:20,75.2,Restaurant,Mobile,0
2026-06-14 16:56:45,60.07,Travel,POS,0
2026-06-16 17:29:09,51.35,Utilities,Desktop,0
2026-06-17 9:32:31,20.91,Grocery,Mobile,0
2026-06-17 11:47:37,79.98,Pharmacy,POS,0
2026-06-18 9:50:43,78.88,Restaurant,POS,0
2026-06-18 14:33:16,174.94,Grocery,Desktop,0
2026-06-19 3:47:12,1875,Online,Desktop,1
2026-06-19 17:56:34,136.4,Entertainment,Mobile,0
2026-06-20 9:29:00,171.92,Retail,Desktop,0
2026-06-21 15:58:06,157.34,Retail,Desktop,0
2026-06-22 10:09:23,138.44,Subscription,Desktop,0
2026-06-23 16:20:31,8.41,Entertainment,POS,0
2026-06-24 10:56:36,170.72,Restaurant,Desktop,0
2026-06-25 8:48:34,139.02,Gas,Desktop,0
2026-06-26 15:10:16,97.34,Pharmacy,Mobile,0
2026-06-27 19:46:44,40.2,Retail,POS,0
2026-06-29 8:21:01,107.95,Utilities,Desktop,0
2026-06-29 17:23:28,162.43,Travel,Mobile,0
2026-06-30 8:45:40,15.3,Restaurant,Mobile,0
2026-07-01 8:32:15,53.73,Travel,Mobile,0
2026-07-02 18:59:56,104.93,Travel,Mobile,0
